ID,marital,education,job,default
0,married,basic.4y,housemaid,no
1,married,high.school,services,
2,married,high.school,services,no
3,married,basic.6y,admin.,no
4,married,high.school,services,no
5,married,basic.9y,services,
6,married,professional.course,admin.,no
7,married,,blue-collar,
8,single,professional.course,technician,no
9,single,high.school,services,no
10,married,,blue-collar,
11,single,high.school,services,no
12,single,high.school,blue-collar,no
13,divorced,basic.4y,housemaid,no
14,married,basic.6y,blue-collar,no
15,married,basic.9y,retired,
16,married,basic.6y,blue-collar,no
17,married,basic.6y,blue-collar,
18,married,basic.9y,blue-collar,no
19,single,basic.9y,management,
20,married,high.school,unemployed,no
21,married,basic.4y,blue-collar,
22,single,high.school,retired,no
23,single,high.school,technician,no
24,married,high.school,admin.,no
25,married,university.degree,technician,no
26,married,,technician,no
27,married,basic.9y,self-employed,
28,single,university.degree,technician,
29,married,university.degree,,
30,married,,admin.,no
31,married,,technician,no
32,married,,blue-collar,no
33,married,basic.4y,management,
34,divorced,basic.4y,blue-collar,no
35,married,basic.4y,,
36,married,high.school,services,no
37,married,basic.9y,technician,no
38,married,university.degree,admin.,no
39,married,basic.4y,technician,no
40,,university.degree,management,no
41,married,high.school,entrepreneur,no
42,single,professional.course,admin.,no
43,married,university.degree,admin.,no
44,married,university.degree,admin.,
45,single,professional.course,technician,
46,married,university.degree,admin.,no
47,married,basic.9y,blue-collar,no
48,married,university.degree,admin.,no
49,married,basic.9y,blue-collar,no
50,married,high.school,admin.,no
51,married,basic.4y,housemaid,no
52,married,high.school,admin.,no
53,single,professional.course,admin.,no
54,married,basic.4y,blue-collar,
55,married,professional.course,technician,
56,married,university.degree,management,
57,married,high.school,services,
58,married,professional.course,unemployed,
59,single,university.degree,technician,no
60,married,university.degree,entrepreneur,
61,married,basic.9y,blue-collar,no
62,married,basic.6y,blue-collar,
63,married,basic.6y,blue-collar,
64,married,high.school,admin.,no
65,married,university.degree,admin.,no
66,single,basic.9y,blue-collar,no
67,married,,admin.,no
68,married,basic.9y,admin.,no
69,single,basic.4y,blue-collar,
70,married,basic.6y,management,no
71,divorced,university.degree,management,no
72,married,university.degree,admin.,
73,married,,,
74,married,university.degree,admin.,
75,divorced,basic.4y,blue-collar,
76,married,university.degree,technician,no
77,married,high.school,services,
78,married,,management,
79,married,basic.9y,blue-collar,
80,married,basic.4y,blue-collar,
81,married,basic.4y,blue-collar,
82,married,high.school,admin.,
83,married,university.degree,entrepreneur,
84,single,university.degree,technician,no
85,divorced,high.school,admin.,no
86,married,basic.6y,management,no
87,married,university.degree,admin.,no
88,married,basic.9y,technician,no
89,married,high.school,admin.,no
90,married,university.degree,admin.,no
91,married,,,
92,married,,admin.,
93,married,basic.9y,unemployed,no
94,married,basic.6y,blue-collar,no
95,married,professional.course,services,no
96,married,university.degree,management,no
97,divorced,university.degree,admin.,
98,single,professional.course,technician,no
99,married,basic.6y,blue-collar,no
100,married,,services,no
101,married,basic.4y,blue-collar,no
102,married,,services,no
103,divorced,university.degree,admin.,no
104,divorced,university.degree,admin.,no
105,single,high.school,services,
106,married,basic.6y,housemaid,no
107,married,high.school,admin.,no
108,married,,entrepreneur,
109,married,,technician,
110,divorced,university.degree,retired,
111,married,basic.4y,unemployed,
112,divorced,high.school,services,no
113,married,basic.9y,blue-collar,
114,married,university.degree,management,no
115,married,high.school,blue-collar,no
116,divorced,university.degree,admin.,no
117,divorced,,blue-collar,
118,married,,admin.,no
119,divorced,basic.4y,blue-collar,
120,married,high.school,blue-collar,
121,divorced,high.school,blue-collar,no
122,married,high.school,services,no
123,married,high.school,technician,no
124,married,university.degree,admin.,no
125,married,university.degree,admin.,no
126,married,basic.6y,admin.,no
127,divorced,professional.course,technician,no
128,married,basic.4y,retired,no
129,married,professional.course,technician,
130,married,basic.6y,blue-collar,no
131,married,professional.course,technician,
132,married,,blue-collar,no
133,married,basic.6y,blue-collar,no
134,married,university.degree,management,no
135,divorced,university.degree,management,no
136,married,basic.4y,housemaid,
137,married,basic.4y,blue-collar,
138,married,high.school,services,no
139,married,basic.9y,blue-collar,
140,single,university.degree,unemployed,no
141,married,,management,no
142,married,university.degree,management,no
143,married,basic.4y,blue-collar,no
144,divorced,high.school,,
145,married,basic.4y,blue-collar,
146,married,basic.4y,blue-collar,
147,single,high.school,admin.,no
148,married,university.degree,admin.,
149,married,basic.4y,blue-collar,no
150,married,basic.9y,blue-collar,
151,married,,entrepreneur,
152,divorced,high.school,services,
153,married,,entrepreneur,
154,married,,blue-collar,no
155,married,basic.9y,blue-collar,no
156,married,,blue-collar,
157,married,,blue-collar,
158,single,professional.course,technician,no
159,married,high.school,services,no
160,single,university.degree,management,no
161,single,basic.9y,blue-collar,
