ID,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,subscribed
24013,-0.1,93.798,-40.4,4.968,no
24019,-0.1,93.798,-40.4,4.968,yes
24076,-0.1,93.2,-42.0,4.663,no
24102,-0.1,93.2,-42.0,4.2860000000000005,yes
24108,-0.1,93.2,-42.0,4.2860000000000005,no
24113,-0.1,93.2,-42.0,4.245,no
24124,-0.1,93.2,-42.0,4.191,no
24135,-0.1,93.2,-42.0,4.191,no
24139,-0.1,93.2,-42.0,4.191,no
24140,-0.1,93.2,-42.0,4.191,no
24143,-0.1,93.2,-42.0,4.191,no
24146,-0.1,93.2,-42.0,4.191,no
24157,-0.1,93.2,-42.0,4.191,no
24161,-0.1,93.2,-42.0,4.191,no
24166,-0.1,93.2,-42.0,4.191,no
24168,-0.1,93.2,-42.0,4.191,no
24173,-0.1,93.2,-42.0,4.191,no
24188,-0.1,93.2,-42.0,4.191,no
24190,-0.1,93.2,-42.0,4.191,no
24196,-0.1,93.2,-42.0,4.191,no
24198,-0.1,93.2,-42.0,4.191,no
24207,-0.1,93.2,-42.0,4.191,no
24208,-0.1,93.2,-42.0,4.191,no
24235,-0.1,93.2,-42.0,4.191,no
24250,-0.1,93.2,-42.0,4.191,no
24251,-0.1,93.2,-42.0,4.191,no
24256,-0.1,93.2,-42.0,4.191,no
24259,-0.1,93.2,-42.0,4.191,no
24261,-0.1,93.2,-42.0,4.191,no
24264,-0.1,93.2,-42.0,4.191,no
24265,-0.1,93.2,-42.0,4.191,no
24266,-0.1,93.2,-42.0,4.191,no
24276,-0.1,93.2,-42.0,4.191,no
24279,-0.1,93.2,-42.0,4.191,no
24285,-0.1,93.2,-42.0,4.191,no
24289,-0.1,93.2,-42.0,4.191,no
24292,-0.1,93.2,-42.0,4.191,no
24294,-0.1,93.2,-42.0,4.191,no
24299,-0.1,93.2,-42.0,4.191,no
24301,-0.1,93.2,-42.0,4.191,no
24303,-0.1,93.2,-42.0,4.191,no
24325,-0.1,93.2,-42.0,4.191,no
24328,-0.1,93.2,-42.0,4.191,no
24341,-0.1,93.2,-42.0,4.191,no
24353,-0.1,93.2,-42.0,4.191,no
24358,-0.1,93.2,-42.0,4.191,no
24362,-0.1,93.2,-42.0,4.191,no
24363,-0.1,93.2,-42.0,4.191,no
24372,-0.1,93.2,-42.0,4.191,no
24373,-0.1,93.2,-42.0,4.191,no
