ID,age,job,marital,education,default,housing,loan,previous
24013,38,blue-collar,single,,no,yes,no,1
24019,40,services,married,high.school,no,yes,no,1
24076,36,admin.,married,university.degree,no,yes,no,1
24102,36,admin.,married,high.school,no,yes,no,1
24108,37,admin.,married,university.degree,no,yes,no,1
24113,29,self-employed,married,university.degree,no,yes,no,1
24124,42,technician,divorced,professional.course,no,no,no,1
24135,34,admin.,single,high.school,no,no,no,1
24139,44,management,married,university.degree,no,yes,no,1
24140,51,technician,married,,no,no,no,1
24143,52,admin.,married,university.degree,no,yes,yes,1
24146,41,entrepreneur,married,university.degree,no,yes,no,1
24157,44,retired,single,basic.9y,no,no,no,1
24161,36,unemployed,divorced,high.school,no,yes,yes,1
24166,50,entrepreneur,married,university.degree,no,no,no,1
24168,41,admin.,married,high.school,no,no,no,1
24173,50,blue-collar,married,basic.6y,,no,yes,1
24188,43,services,married,basic.4y,no,no,no,1
24190,31,technician,single,university.degree,no,yes,no,1
24196,39,admin.,married,university.degree,no,yes,no,1
24198,39,self-employed,married,university.degree,no,no,no,1
24207,48,blue-collar,divorced,professional.course,no,yes,no,1
24208,41,management,married,university.degree,no,yes,no,1
24235,32,,single,basic.9y,no,yes,no,1
24250,39,housemaid,married,basic.9y,no,yes,no,1
24251,36,technician,married,high.school,no,yes,no,1
24256,36,entrepreneur,divorced,university.degree,no,yes,no,1
24259,39,unemployed,married,professional.course,no,yes,no,1
24261,31,services,single,high.school,,no,no,1
24264,48,management,married,university.degree,no,yes,no,1
24265,35,admin.,married,university.degree,,no,no,1
24266,45,admin.,married,high.school,no,yes,no,1
24276,46,blue-collar,married,basic.9y,no,yes,no,1
24279,42,technician,married,professional.course,,yes,no,1
24285,46,unemployed,married,university.degree,no,no,no,1
24289,38,admin.,married,basic.9y,,yes,no,1
24292,40,blue-collar,married,professional.course,no,no,yes,1
24294,50,technician,married,high.school,no,no,no,1
24299,42,entrepreneur,married,high.school,no,yes,no,1
24301,46,technician,married,professional.course,no,yes,no,1
24303,46,technician,married,professional.course,no,yes,no,1
24325,40,blue-collar,married,basic.9y,no,no,no,1
24328,52,management,divorced,university.degree,no,yes,no,1
24341,53,self-employed,married,basic.9y,no,yes,no,1
24353,47,admin.,married,university.degree,no,yes,no,1
24358,56,management,married,professional.course,no,no,no,1
